symbol,timeframe_minutes,direction,signal_at_ms,entry_at_ms,exit_at_ms,entry_price,stop_price,take_profit,exit_price,exit_reason,atr,macd,macd_signal,histogram,point_indices,prices,histograms,divergence_score,quantity,risk_fraction,pnl,pnl_percent,r_multiple,fees,funding,slippage_cost,holding_bars,ambiguous_exit,leverage_capped,entry_at,exit_at
BTCUSDT,15,LONG,1774886399999,1774886400000,1774891799999,67603.71804,67116.47197293352,69065.45624119944,67103.04867853894,STOP,294.95201804431986,59.50903616966389,86.79234697228001,-27.28331080261613,"[218922, 218939]","[67333.3, 67055.0]","[-57.821082548774626, -57.64536665149819]",0.002895251980784499,0.815012,0.009999992429884742,-451.96659016583067,-0.011381346835386809,-1.1381355451204065,43.91505254272394,0.0,21.9575108276009,6,False,False,2026-03-30T16:00:00+00:00,2026-03-30T17:29:59.999000+00:00
BTCUSDT,15,LONG,1775054699999,1775054700000,1775092499999,68386.87464,67760.47779740016,70266.0651677995,67746.92570184068,STOP,295.28146839988955,-38.334596603846876,-3.1889891912820953,-35.14560741256478,"[219114, 219126]","[68370.1, 67883.7]","[-64.13903460148953, -58.18070164974375]",0.16006989785738446,0.626746,0.009999992082967585,-435.2139631272166,-0.011085654673054975,-1.1085663449610663,34.12852593161891,0.0,17.064247604961874,42,False,False,2026-04-01T14:45:00+00:00,2026-04-02T01:14:59.999000+00:00
BTCUSDT,15,LONG,1775108699999,1775108700000,1775132999999,66567.01074,65968.76044656306,68361.76162031083,65955.56669447375,STOP,262.2930356246283,-560.1677234874223,-547.0770292731103,-13.090694214312066,"[219178, 219186]","[66590.0, 66171.8]","[-180.6632630421729, -100.99638002569952]",0.6271753958282887,0.648958,0.009999985247035359,-431.2021396193159,-0.011106590394089053,-1.1106606779626764,34.40063472268849,0.0,17.200302177296134,27,False,False,2026-04-02T05:45:00+00:00,2026-04-02T12:29:59.999000+00:00
BTCUSDT,15,SHORT,1775294999999,1775295000000,1775300399999,66931.51102,67052.89171134048,66567.36894597857,67066.30228968275,STOP,63.12780756031699,36.25732833587972,35.56196659261939,0.6953617432603281,"[219387, 219393]","[67023.7, 67025.0]","[18.38269520018962, 14.956732613003766]",0.0039887504524645625,2.868065,0.009067529189018281,-540.3158982546521,-0.014073370210600821,-1.552062300239974,153.72577537201408,0.0,76.86287529691714,6,False,True,2026-04-04T09:30:00+00:00,2026-04-04T10:59:59.999000+00:00
BTCUSDT,15,LONG,1775397599999,1775397600000,1775403899999,66876.8727,66649.65981146153,67558.51136561541,67544.99966334229,TAKE_PROFIT,101.69345902564626,-66.21670553419972,-54.97272825499097,-11.24397727920875,"[219486, 219507]","[66685.3, 66650.0]","[-25.2350528327475, -17.52026330752109]",0.11812710718916206,1.665947,0.009999997984373411,1023.4882241999526,0.02703887506193365,2.70388805119623,89.5758859992372,0.0,44.78798931370258,7,False,False,2026-04-05T14:00:00+00:00,2026-04-05T15:44:59.999000+00:00
BTCUSDT,15,SHORT,1775425499999,1775425500000,1775427299999,67456.10608,67714.3122855277,66681.48746341691,67727.85514798481,STOP,143.54152368513212,139.54982061889314,136.63531637435486,2.9145042445382785,"[219533, 219538]","[67540.0, 67681.6]","[14.917589968917582, 7.545369876239818]",0.5024584687721579,1.505616,0.009999995004145026,-490.56379873030164,-0.01261869322752486,-1.2618699531644144,81.41405398729343,0.0,40.707012255937414,2,False,False,2026-04-05T21:45:00+00:00,2026-04-05T22:14:59.999000+00:00
BTCUSDT,15,LONG,1775649599999,1775649600000,1775659499999,71664.53004,71170.06687375311,73147.91953874067,71155.83286037836,STOP,185.28875083126013,89.29587772213563,135.9760170514445,-46.68013932930887,"[219775, 219786]","[71551.8, 71415.3]","[-68.37472361334767, -67.71778814469766]",0.0073590771037505475,0.776304,0.009999994352982064,-439.2524629294044,-0.011443218502077352,-1.1443224964087015,44.348807600406126,0.0,22.174388891032407,11,False,False,2026-04-08T12:00:00+00:00,2026-04-08T14:44:59.999000+00:00
BTCUSDT,15,SHORT,1775759399999,1775759400000,1775769299999,71855.02612,72469.59426365502,70011.32168903496,72484.08818250774,STOP,335.86284243667586,342.79045167117147,314.9347454614605,27.855706209710945,"[219904, 219909]","[72377.4, 72517.9]","[149.25867331848607, 136.5979702915384]",0.03596183423379434,0.617444,0.009999999656014578,-424.059124159591,-0.011175289375061393,-1.1175289759475069,35.648528036559036,0.0,17.82424919482564,11,False,False,2026-04-09T18:30:00+00:00,2026-04-09T21:14:59.999000+00:00
BTCUSDT,15,LONG,1775874599999,1775874600000,1775881799999,72964.59,72700.59676619679,73756.56970140964,72686.05664684354,STOP,148.2688225354741,18.168633872352075,28.28934261144598,-10.120708739093907,"[220026, 220037]","[72669.1, 72615.0]","[-59.61747119564703, -46.135246494283656]",0.07508991294545356,1.421327,0.009999996703796215,-478.6938539004456,-0.012757656548584368,-1.2757660753769335,82.80687865864728,0.0,41.403425149981636,8,False,False,2026-04-11T02:30:00+00:00,2026-04-11T04:29:59.999000+00:00
BTCUSDT,15,SHORT,1776032099999,1776032100000,1776088799999,70908.71542,71621.97904517387,68768.92454447839,71636.3034409829,STOP,193.05269678257898,8.60057220478484,-12.933844226136433,21.534416430921272,"[220204, 220212]","[71199.0, 71423.9]","[62.43817110763891, 49.115299764952354]",0.3041784396677288,0.51935,0.009999988326413923,-407.4851409156514,-0.011000212052303051,-1.1000224893510266,29.612302218180588,0.0,14.806136586422209,63,False,False,2026-04-12T22:15:00+00:00,2026-04-13T13:59:59.999000+00:00
BTCUSDT,15,LONG,1776149999999,1776150000000,1776176999999,74499.99702,74088.97154892297,75733.07343323108,75717.92681854442,TAKE_PROFIT,164.28563405135026,230.8469300532306,287.2365238004133,-56.38959374718269,"[220333, 220343]","[74212.8, 74112.2]","[-96.85129871683466, -93.81489921104895]",0.018248105998432334,0.891329,0.009999996652342092,1032.0187126719738,0.028169598306620063,2.8169607736841074,53.55743673483439,0.0,26.778762861613686,30,False,False,2026-04-14T07:00:00+00:00,2026-04-14T14:29:59.999000+00:00
BTCUSDT,15,SHORT,1776260699999,1776260700000,1776282299999,73814.43416,74719.17822686779,71100.20195939661,74734.12206251317,STOP,226.11881791186474,28.850156146363588,6.807836134196297,22.04232001216729,"[220451, 220459]","[74154.3, 74222.7]","[24.883117618984983, 18.461198183115243]",0.08425677812102356,0.416337,0.009999978726905993,-407.63860636943093,-0.01082190287832004,-1.082192589990474,24.738504100804985,0.0,12.369237229167892,24,False,False,2026-04-15T13:45:00+00:00,2026-04-15T19:44:59.999000+00:00
BTCUSDT,15,LONG,1776351599999,1776351600000,1776416399999,73951.58736,73342.30158197528,75779.44469407418,75764.28880513537,TAKE_PROFIT,312.93227868315057,-229.8441378903226,-147.05563575407612,-82.78850213624648,"[220555, 220567]","[74226.2, 73256.8]","[-63.998304104938995, -25.141011969042225]",2.0381965738694334,0.61154,0.009999994065427132,1071.916542994069,0.028768340205329496,2.876835727812075,36.62289876401075,0.0,18.311494456042823,72,False,False,2026-04-16T15:00:00+00:00,2026-04-17T08:59:59.999000+00:00
BTCUSDT,15,LONG,1776472199999,1776472200000,1776500999999,77193.83568,76737.98598860978,78561.38475417063,76722.63839141207,STOP,211.4093409268073,37.159487011958845,103.64606695490276,-66.48657994294392,"[220690, 220701]","[77111.0, 76854.2]","[-96.98255135812764, -76.20506998135767]",0.23291627609175636,0.840895,0.009999992564854726,-447.9984813728619,-0.01168726209891771,-1.1687270788573325,51.77103738571202,0.0,25.885503879178405,32,False,False,2026-04-18T00:30:00+00:00,2026-04-18T08:29:59.999000+00:00
BTCUSDT,15,LONG,1776638699999,1776638700000,1776708899999,74116.92042,73458.27242415622,76092.86440753132,76077.64583464981,TAKE_PROFIT,283.88505056251535,-387.5805351107556,-312.7533419419296,-74.827193168826,"[220873, 220883]","[74550.0, 74375.0]","[-139.11022364936565, -47.58532206682972]",0.4469874219204897,0.575181,0.009999994363457729,1093.2163803985277,0.02885678737100001,2.885680363625936,34.55562432516629,0.0,17.277857964577656,78,False,False,2026-04-19T22:45:00+00:00,2026-04-20T18:14:59.999000+00:00
BTCUSDT,15,LONG,1776744899999,1776744900000,1776761999999,75584.1138,75281.66080064814,76491.47279805556,76476.17450349595,TAKE_PROFIT,191.5594662345684,-76.4145707860007,-32.90612958700231,-43.50844119899838,"[220989, 221004]","[75556.2, 75433.1]","[-93.08899143955824, -66.88272445138199]",0.17814810881718687,1.288709,0.009999992613785298,1071.222072309834,0.027483145347762142,2.748316564741836,78.38458483172398,0.0,39.19233996782187,19,False,False,2026-04-21T04:15:00+00:00,2026-04-21T08:59:59.999000+00:00
